"CarrierName","Program","SubProgram","Policy","PolicyEffective","PolicyExpiration","PolicyCancellation","PolicyReinstatement","State","ASLOB","Product","TransactionType","WrittenPremium","Taxes","PolicyFees","Commission","CollectedPremium","UncollectedPremiumUnder_30_Days","UncollectedPremium_31_60_Days","UncollectedPremium_61_90_Days","UncollectedPremiumOver_90_Days"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002105-01","06/19/2025","06/19/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","21.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002106-01","06/19/2025","06/19/2026","","","OK","9.001","Personal Boaters","Renweal","0.0","","5.0","9.49","73.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002108-01","06/18/2025","06/18/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","155.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002110-01","06/26/2025","06/26/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","233.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002119-01","06/19/2025","06/19/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","136.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002120-01","06/19/2025","06/19/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","255.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002128-01","06/21/2025","06/21/2026","","","CT","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","71.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002131-01","06/20/2025","06/20/2026","","","DE","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","34.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002133-01","07/01/2025","07/01/2026","","","GA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","96.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002136-01","07/05/2025","07/05/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","42.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002147-01","06/23/2025","06/23/2026","","","PA","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","46.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002148-01","06/23/2025","06/23/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","66.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002152-01","06/22/2025","06/22/2026","","","KY","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","37.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002153-01","06/22/2025","06/22/2026","","","GA","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","50.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002161-01","06/23/2025","06/23/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","170.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002172-01","06/27/2025","06/27/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","138.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002174-01","06/25/2025","06/25/2026","","","VA","9.001","Personal Boaters","Renweal","0.0","","5.0","7.3","73.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002177-01","06/25/2025","06/25/2026","","","NC","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","266.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002183-01","06/25/2025","06/25/2026","","","OH","9.001","Personal Boaters","Renweal","0.0","","1.0","1.7","17.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002189-01","06/25/2025","06/25/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","1.0","2.5","25.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002197-01","07/26/2025","07/26/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","71.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002206-01","06/27/2025","06/27/2026","","","OK","9.001","Personal Boaters","Renweal","0.0","","1.0","4.96","62.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002211-01","06/26/2025","06/26/2026","","12/08/2025","CT","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","110.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002213-01","07/01/2025","07/01/2026","","","OH","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","59.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002216-01","06/27/2025","06/27/2026","","","MN","9.001","Personal Boaters","Renweal","0.0","","1.0","13.39","103.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002218-01","06/27/2025","06/27/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","51.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002223-01","06/28/2025","06/28/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","90.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002224-01","06/29/2025","06/29/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","100.0","0.0","0.0","0.0","0.0"
